"site_id","obs.time","val1","val2"
"84","2018-03-01",5.56619326308708,11.7104752321007
"85","2018-07-01",5.44971046175762,10.4800206751222
"1","2018-01-01",4.10300491364984,11.7644153537958
"4","2018-03-01",3.88615677096859,13.3780022433628
"5","2018-07-01",3.83873751959076,12.4148053252003
"7","2018-01-01",6.56936753046795,13.2531234392487
"8","2018-03-01",6.3807760876766,17.2286173112877
"11","2018-07-01",6.70053878920262,15.2182863959872
"12","2018-01-01",6.6631619081488,14.074206181893
"15","2018-03-01",5.81300211041354,13.3076585238049
"16","2018-07-01",5.18261373277768,11.7105251618301
"17","2018-01-01",3.72570982288779,13.814923813624
"18","2018-03-01",4.92054300222959,15.2093735553482
"19","2018-07-01",3.40289549380649,11.685604416871
"20","2018-01-01",5.36373265534932,15.510166706544
"21","2018-03-01",4.19442219535189,12.9187412287312
"22","2018-07-01",5.5477622748949,10.4446838046175
"23","2018-01-01",4.90697213626808,12.5112096944053
"24","2018-03-01",4.09320382551628,12.7843875291574
"25","2018-07-01",4.4726858576967,11.3769275178703
"26","2018-01-01",5.00015259221129,14.7463322768967
"28","2018-03-01",4.49415513249569,14.8714025748049
"30","2018-07-01",3.77458724915903,14.5138758332084
"31","2018-01-01",6.09554504658435,18.52895879146
"32","2018-03-01",4.9385994085058,17.901154724865
"34","2018-07-01",4.53656622200411,9.58714213762084
"36","2018-01-01",4.44872223845649,11.6478303175084
"37","2018-03-01",5.38161948164008,12.0171993921765
"38","2018-07-01",4.35187242282609,13.0346688294987
"40","2018-01-01",5.84640519669898,12.6502342800532
"41","2018-03-01",5.39754641686754,14.8193164930294
"43","2018-07-01",4.76030696859385,12.7568921616693
"44","2018-01-01",4.61939963018199,14.076661268537
"45","2018-03-01",4.54080787454168,9.18461755900194
"46","2018-07-01",4.59323915955721,12.9792423770964
"47","2018-01-01",3.97625734673665,15.2219125723838
"50","2018-03-01",3.29167245471188,14.1620398285031
"52","2018-07-01",3.61867641698104,12.6297206337255
"53","2018-01-01",3.72299439247244,14.8483566673482
"55","2018-03-01",4.42417485474307,10.4270493885354
"56","2018-07-01",5.41143786520671,13.7024892084359
"58","2018-01-01",3.93665346964748,12.1134750010325
"59","2018-03-01",4.12115046357444,9.69308855306364
"61","2018-07-01",4.37137854729792,14.7183233274258
"62","2018-01-01",7.44718601268208,12.7274442171044
"63","2018-03-01",6.66872457128424,15.144063846078
"66","2018-07-01",6.68523558699815,14.1476410858802
"67","2018-01-01",5.1335691487188,13.8438500401207
"69","2018-03-01",5.1111372372893,14.1901894424839
"70","2018-07-01",5.3136468545887,13.4142807280824
"71","2018-01-01",5.0430176249258,14.7452380154266
"72","2018-03-01",4.4502420740126,12.8393399985602
"73","2018-07-01",5.24702177272446,11.2413375618481
"74","2018-01-01",7.21119451988121,11.4827515425015
"76","2018-03-01",8.35297661420869,17.4514098166967
"77","2018-07-01",7.29004752989597,11.7086374604891
"78","2018-01-01",4.42089814986137,12.2760211972775
"79","2018-03-01",5.20656985158692,11.2807034637298
"80","2018-07-01",4.66487307517876,13.2233267807624
"81","2018-01-01",5.09869853101356,13.2303720369355
"84","2018-03-01",4.08522846593498,11.9517890928114
"85","2018-07-01",4.68753112180454,10.4894944662354
"1","2018-01-01",5.61390289588056,14.6448265831797
"4","2018-03-01",5.81684674605746,12.4085948769804
"5","2018-07-01",6.25921930015479,15.6348462786032
"7","2018-01-01",5.84496804028675,12.1148167462234
"8","2018-03-01",5.08203642234022,14.1193741960746
"11","2018-07-01",6.43410357853345,12.7964474055287
"12","2018-01-01",4.83547928767073,11.6332456013731
"15","2018-03-01",5.42129003938563,13.4560284958745
"16","2018-07-01",4.90803428090224,15.9286426505012
"17","2018-01-01",3.02554045899168,16.5104510493188
"18","2018-03-01",3.55123075157282,15.8356094587728
"19","2018-07-01",2.96134725069852,10.4866350177765
"20","2018-01-01",3.72570558716247,13.7262481037589
"21","2018-03-01",3.39284314355896,14.4407552918293
"22","2018-07-01",4.31384783943553,13.3250710652098
"23","2018-01-01",5.90914584449762,10.633042368393
"24","2018-03-01",6.23023198029491,13.1695421885382
"25","2018-07-01",6.43359702910624,13.4862965490036
"26","2018-01-01",5.3424124561766,13.3730353638062
"28","2018-03-01",5.048793801253,13.3848568560309
"30","2018-07-01",4.88709460994451,13.6058343867641
"31","2018-01-01",3.96640172326378,11.6225071320437
"32","2018-03-01",3.99582631681334,12.3054310980386
"34","2018-07-01",4.03339238364565,12.7675201742838
"36","2018-01-01",2.7189419197057,11.9292484531681
"37","2018-03-01",2.81476785178775,12.0475894820457
"38","2018-07-01",3.4096979996982,11.1321697313824
"40","2018-01-01",5.62821479969385,16.5451624714371
"41","2018-03-01",5.78670032502296,11.9108877415606
"43","2018-07-01",5.08611123044679,12.3157278574557
"44","2018-01-01",4.71102998262776,15.0568917613733
"45","2018-03-01",4.10722148079322,14.2478280648405
"46","2018-07-01",5.05319264669812,8.67099023637251
"47","2018-01-01",3.91289854464901,17.3861814362764
"50","2018-03-01",4.89079843980913,14.0982826215501
"52","2018-07-01",5.10817218713883,10.5912834818991
"53","2018-01-01",4.74220154382407,14.0601551844582
"55","2018-03-01",4.82278555169203,13.8755313595473
"56","2018-07-01",4.35423893832518,13.6586506010033
"58","2018-01-01",3.88925575404616,9.90922013498571
"59","2018-03-01",4.93512537757997,13.8885818860156
"61","2018-07-01",5.47660708059249,12.7518640174201
"62","2018-01-01",4.05854985394336,12.8709562700182
"63","2018-03-01",5.41345247255935,16.2501195146511
"66","2018-07-01",4.60122299569454,12.1548056262411
"67","2018-01-01",5.01379580485078,10.3567095747663
"69","2018-03-01",4.88703447046385,14.5646471449035
"70","2018-07-01",4.44688806965339,11.6194089880081
"71","2018-01-01",5.68487389852675,8.78259217038927
"72","2018-03-01",6.39385640525624,11.9864312604554
"73","2018-07-01",6.64804619278475,11.8517575222185
"74","2018-01-01",3.32833907702139,12.9504300097571
"76","2018-03-01",3.64542884479296,12.9985883582174
"77","2018-07-01",4.20903941370939,9.64082965392378
"78","2018-01-01",5.35130307135614,12.5030988405172
"79","2018-03-01",5.21952075165462,13.7084581701304
"80","2018-07-01",4.35400322059981,11.6286179330403
"81","2018-01-01",5.60943895508628,13.7198359292618
"84","2018-03-01",4.15285564724442,14.4268999522734
"85","2018-07-01",5.27072948722944,13.4460661047705
